source,destination,timestamp,state_label,w
0,30,0,0,0.0
0,51,0,0,0.0
0,75,2,0,0.0
0,100,2,0,0.0
0,138,3,0,0.0
0,180,4,0,0.0
0,225,5,0,0.0
0,230,7,0,0.0
1,8,9,0,0.0
1,24,9,0,0.0
1,32,12,0,0.0
1,39,12,0,0.0
1,46,12,0,0.0
1,80,13,0,0.0
1,107,13,0,0.0
1,159,15,0,0.0
1,204,15,0,0.0
2,23,19,0,0.0
2,42,19,0,0.0
2,77,19,0,0.0
2,108,20,0,0.0
2,134,20,0,0.0
2,150,20,0,0.0
2,168,22,0,0.0
2,194,23,0,0.0
2,219,23,0,0.0
2,234,25,0,0.0
2,237,25,0,0.0
3,24,26,0,0.0
3,45,26,0,0.0
3,101,26,0,0.0
3,166,26,0,0.0
3,215,28,0,0.0
3,244,28,0,0.0
4,14,31,0,0.0
4,104,32,0,0.0
4,126,32,0,0.0
4,140,32,0,0.0
4,145,33,0,0.0
5,22,33,0,0.0
5,40,33,0,0.0
5,67,33,0,0.0
5,96,34,0,0.0
5,133,34,0,0.0
5,144,36,0,0.0
5,152,36,0,0.0
5,215,39,0,0.0
6,33,40,0,0.0
6,155,41,0,0.0
6,164,42,0,0.0
7,48,42,0,0.0
7,74,42,0,0.0
7,130,45,0,0.0
7,144,45,0,0.0
7,150,45,0,0.0
7,200,45,0,0.0
7,223,47,0,0.0
7,232,48,0,0.0
8,1,49,0,0.0
8,39,50,0,0.0
8,60,51,0,0.0
8,104,52,0,0.0
8,117,52,0,0.0
8,196,53,0,0.0
8,228,53,0,0.0
8,234,56,0,0.0
9,44,57,0,0.0
9,55,58,0,0.0
9,72,59,0,0.0
9,80,61,0,0.0
9,103,61,0,0.0
9,137,62,0,0.0
9,236,63,0,0.0
9,248,64,0,0.0
10,35,65,0,0.0
10,114,67,0,0.0
10,185,68,0,0.0
10,221,68,0,0.0
11,39,69,0,0.0
11,55,69,0,0.0
11,74,70,0,0.0
11,100,70,0,0.0
11,133,72,0,0.0
12,89,73,0,0.0
12,135,73,0,0.0
12,149,74,0,0.0
12,166,74,0,0.0
12,193,75,0,0.0
12,207,76,0,0.0
12,233,76,0,0.0
13,28,78,0,0.0
